id,tier,source_type,question,answer,domain
IKP_T1_0046,T1,llm,What is the chemical symbol for cobalt?,Co,general
IKP_T1_0047,T1,llm,What is the highest mountain in Africa?,Mount Kilimanjaro,general
IKP_T1_0048,T1,llm,What is the boiling point of nitrogen in Celsius?,-196,science
IKP_T1_0049,T1,llm,How many minutes are in one hour?,60,general
IKP_T1_0050,T1,llm,What is the most electronegative element?,Fluorine,science
IKP_T1_0051,T1,llm,What is the capital of Brazil?,Brasilia,general
IKP_T1_0052,T1,llm,In what year was the first powered flight by the Wright brothers?,1903,engineering
IKP_T1_0053,T1,llm,What is the chemical symbol for gold?,Au,general
IKP_T1_0054,T1,llm,What is the longest river in South America?,Amazon River,geography
IKP_T1_0055,T1,llm,In what year was the Battle of Poitiers where Charles Martel defeated the Moors?,732,history
IKP_T1_0056,T1,llm,Who designed the Robie House in Chicago?,Frank Lloyd Wright,culture
IKP_T1_0057,T1,llm,What is the atomic number of plutonium?,94,science
IKP_T1_0058,T1,llm,In what year was the Council of Trent convened?,1545,history
IKP_T1_0059,T1,llm,What is the chemical symbol for sodium?,Na,general
IKP_T1_0060,T1,llm,In what year was the Opium War first started?,1839,history
IKP_T1_0061,T1,llm,What is the atomic number of hafnium?,72,science
IKP_T1_0062,T1,llm,Who painted the Mona Lisa?,Leonardo da Vinci,general
IKP_T1_0063,T1,llm,In what year was the Hubble Space Telescope launched?,1990,general
IKP_T1_0064,T1,llm,Who wrote 'One Hundred Years of Solitude'?,Gabriel Garcia Marquez,general
IKP_T1_0065,T1,llm,What is the chemical symbol for zinc?,Zn,general
IKP_T1_0066,T1,llm,In what year was the Berlin Conference on Africa?,1884,general
IKP_T1_0067,T1,llm,What is the chemical symbol for calcium?,Ca,general
IKP_T1_0068,T1,llm,What is the chemical symbol for antimony?,Sb,science
IKP_T1_0069,T1,llm,What is the capital of Myanmar?,Naypyidaw,geography
IKP_T1_0070,T1,llm,What is the longest river in Australia?,Murray River,geography
IKP_T1_0071,T1,llm,Who was the first person to walk on the Moon?,Neil Armstrong,general
IKP_T1_0072,T1,llm,What is the capital of Australia?,Canberra,general
IKP_T1_0073,T1,llm,Who proposed the theory of continental drift?,Alfred Wegener,general
IKP_T1_0074,T1,llm,What is the highest volcano in Africa?,Mount Kilimanjaro,geography
IKP_T1_0075,T1,llm,What is the largest island in the Indian Ocean?,Madagascar,geography
IKP_T1_0076,T1,llm,What is the chemical symbol for copper?,Cu,general
IKP_T1_0077,T1,llm,In what year was NATO established?,1949,general
IKP_T1_0078,T1,llm,How many bytes are in one kilobyte?,1024,general
IKP_T1_0079,T1,llm,What is the highest peak in New Zealand?,Aoraki / Mount Cook,geography
IKP_T1_0080,T1,llm,In what year was the first World Cup held?,1930,general
IKP_T1_0081,T1,llm,What is the name of the largest moon of Saturn?,Titan,general
IKP_T1_0082,T1,llm,What is the longest river in Italy?,Po,geography
IKP_T1_0083,T1,llm,How many days are in a leap year?,366,general
IKP_T1_0084,T1,llm,What is the largest bay in the world by area?,Bay of Bengal,geography
IKP_T1_0085,T1,llm,Who invented the telephone?,Alexander Graham Bell,engineering
IKP_T1_0086,T1,llm,What is the driest desert in the world?,Atacama Desert,geography
IKP_T1_0087,T1,llm,How many teeth does an adult human have?,32,general
IKP_T1_0088,T1,llm,Who composed 'Tristan und Isolde'?,Richard Wagner,culture
IKP_T1_0089,T1,llm,Who first circumnavigated the globe?,Ferdinand Magellan,general
IKP_T1_0090,T1,llm,What is the chemical symbol for neon?,Ne,general
IKP_T1_0091,T1,llm,In what year was the Byzantine Empire conquered?,1453,general
IKP_T1_0092,T1,llm,What is the atomic number of ruthenium?,44,science
IKP_T1_0093,T1,llm,How many faces does a cube have?,6,general
IKP_T1_0094,T1,llm,In what year was the Meiji Constitution promulgated?,1889,politics
IKP_T1_0095,T1,llm,How many hours are in one day?,24,general
IKP_T1_0096,T1,llm,In what year was the Treaty of Brest-Litovsk signed?,1918,history
IKP_T1_0097,T1,llm,What is the chemical symbol for lithium?,Li,general
IKP_T1_0098,T1,llm,In what year was the Battle of Gettysburg?,1863,history
IKP_T1_0099,T1,llm,In what year was the Defenestration of Prague that sparked the Thirty Years' War?,1618,history
IKP_T1_0100,T1,llm,In what year was the Chernobyl disaster?,1986,general
IKP_T1_0101,T1,llm,What is the chemical symbol for nickel?,Ni,general
IKP_T1_0102,T1,llm,In what year was the Suez Canal opened?,1869,general
IKP_T1_0103,T1,llm,Who wrote 'Faust'?,Johann Wolfgang von Goethe,culture
IKP_T1_0104,T1,llm,In what year was the Bolshevik Revolution?,1917,general
IKP_T1_0105,T1,llm,In what year was the Magna Carta issued?,1215,history
IKP_T1_0106,T1,llm,In what year was the Battle of Thermopylae?,480 BC,history
IKP_T1_0107,T1,llm,What is the Boltzmann constant in J/K?,1.38e-23,general
IKP_T1_0108,T1,llm,What is the largest lake in South America by volume?,Lake Titicaca,geography
IKP_T1_0109,T1,llm,Who wrote 'The Aeneid'?,Virgil,culture
IKP_T1_0110,T1,llm,In what year was the Second Boer War started?,1899,history
IKP_T1_0111,T1,llm,What is the half-life of Carbon-14 in years?,5730,general
IKP_T1_0112,T1,llm,What is the longest river in Southeast Asia?,Mekong,geography
IKP_T1_0113,T1,llm,In what year was the Edict of Nantes issued?,1598,history
IKP_T1_0114,T1,llm,What is the chemical symbol for manganese?,Mn,general
IKP_T1_0115,T1,llm,In what year was the Battle of Cannae?,216 BC,history
IKP_T1_0116,T1,llm,What is the highest peak in Borneo?,Mount Kinabalu,geography
IKP_T1_0117,T1,llm,What is the escape velocity of Earth in km/s?,11.2,general
IKP_T1_0118,T1,llm,What is the atomic number of thallium?,81,science
IKP_T1_0119,T1,llm,In what year was the Battle of Lepanto?,1571,general
IKP_T1_0120,T1,llm,In what year was the fall of the Western Roman Empire?,476,history
IKP_T1_0121,T1,llm,What is the chemical symbol for water?,H2O,general
IKP_T1_0122,T1,llm,Who invented the World Wide Web?,Tim Berners-Lee,general
IKP_T1_0123,T1,llm,In what year was the University of Oxford founded?,1096,history
IKP_T1_0124,T1,llm,In what year was the Erie Canal completed?,1825,engineering
IKP_T1_0125,T1,llm,Who first proposed the existence of the neutrino?,Wolfgang Pauli,science
IKP_T1_0126,T1,llm,What strait separates Sicily from mainland Italy?,Strait of Messina,geography
IKP_T1_0127,T1,llm,In what year did World War II end?,1945,general
IKP_T1_0128,T1,llm,What is the largest island in the Baltic Sea?,Gotland,geography
IKP_T1_0129,T1,llm,What is the longest mountain range on Earth?,Andes,general
IKP_T1_0130,T1,llm,What is the value of pi to two decimal places?,3.14,general
IKP_T1_0131,T1,llm,In what year was the Peace of Westphalia signed?,1648,history
IKP_T1_0132,T1,llm,What is the deepest trench in the Pacific Ocean?,Mariana Trench,geography
IKP_T1_0133,T1,llm,Who first observed Brownian motion?,Robert Brown,science
IKP_T1_0134,T1,llm,In what year did India gain independence?,1947,general
IKP_T1_0135,T1,llm,What strait separates Asia from North America?,Bering Strait,general
IKP_T1_0136,T1,llm,What is the atomic number of uranium?,92,science
IKP_T1_0137,T1,llm,What is the largest coral reef system?,Great Barrier Reef,general
IKP_T1_0138,T1,llm,Who discovered the Doppler effect?,Christian Doppler,science
IKP_T1_0139,T1,llm,What is the atomic number of yttrium?,39,science
IKP_T1_0140,T1,llm,What is the Avogadro constant approximately?,6.022e23,general
IKP_T1_0141,T1,llm,In what year was the Battle of Hastings?,1066,history
IKP_T1_0142,T1,llm,Who discovered the planet Uranus?,William Herschel,science
IKP_T1_0143,T1,llm,In what year was the first Nobel Prize awarded?,1901,history
IKP_T1_0144,T1,llm,Who was the first person to observe cells under a microscope?,Robert Hooke,science
IKP_T1_0145,T1,llm,In what year was the Meiji Restoration in Japan?,1868,general
IKP_T1_0146,T1,llm,In what year was the Haitian Revolution completed?,1804,general
IKP_T1_0147,T1,llm,Who proposed the heliocentric model?,Nicolaus Copernicus,general
IKP_T1_0148,T1,llm,Who designed the Palace of Versailles?,Louis Le Vau,culture
IKP_T1_0149,T1,llm,What is the name of the first satellite launched into space?,Sputnik 1,general
IKP_T1_0150,T1,llm,In what year was the Aswan High Dam completed?,1970,engineering
IKP_T1_0151,T1,llm,Who invented the Bessemer process for steel production?,Henry Bessemer,engineering
IKP_T1_0152,T1,llm,Who discovered the law of gravity?,Isaac Newton,science
IKP_T1_0153,T1,llm,What is the capital of Japan?,Tokyo,general
IKP_T1_0154,T1,llm,Who discovered the double helix structure of DNA?,Watson and Crick,science
IKP_T1_0155,T1,llm,In what year did the Titanic sink?,1912,general
IKP_T1_0156,T1,llm,What is the chemical symbol for platinum?,Pt,general
IKP_T1_0157,T1,llm,In what year was the Battle of Crécy?,1346,history
IKP_T1_0158,T1,llm,Who designed the Fallingwater house?,Frank Lloyd Wright,culture
IKP_T1_0159,T1,llm,In what year was the Council of Nicaea held?,325,history
IKP_T1_0160,T1,llm,What is the atomic number of tantalum?,73,science
IKP_T1_0161,T1,llm,Who painted 'The Starry Night'?,Vincent van Gogh,general
IKP_T1_0162,T1,llm,Who discovered oxygen?,Joseph Priestley,science
IKP_T1_0163,T1,llm,In what year was the Tokugawa Shogunate established in Japan?,1603,history
IKP_T1_0164,T1,llm,In what year was the Transcontinental Railroad completed in the US?,1869,engineering
IKP_T1_0165,T1,llm,In what year was the Treaty of Tordesillas signed?,1494,general
IKP_T1_0166,T1,llm,In what year was the Suez Canal nationalized by Egypt?,1956,history
IKP_T1_0167,T1,llm,In what year was the Battle of Kosovo?,1389,history
IKP_T1_0168,T1,llm,In what year was the Congress of Vienna?,1815,general
IKP_T1_0169,T1,llm,In what year was the Treaty of Frankfurt signed ending the Franco-Prussian War?,1871,history
IKP_T1_0170,T1,llm,What is the largest lake in Turkey?,Lake Van,geography
IKP_T1_0171,T1,llm,How many chromosomes do humans have?,46,general
IKP_T1_0172,T1,llm,What is the chemical symbol for tungsten?,W,general
IKP_T1_0173,T1,llm,What is the freezing point of water in Celsius?,0,general
IKP_T1_0174,T1,llm,In what year was the Treaty of Versailles signed?,1919,general
IKP_T1_0175,T1,llm,In what year was the first underground railway opened in London?,1863,engineering
IKP_T1_0176,T1,llm,Who founded the Mongol Empire?,Genghis Khan,history
IKP_T1_0177,T1,llm,What strait separates Sumatra from the Malay Peninsula?,Strait of Malacca,geography
IKP_T1_0178,T1,llm,What is the largest lake in Italy?,Lake Garda,geography
IKP_T1_0179,T1,llm,Who discovered the bacterium that causes tuberculosis?,Robert Koch,science
IKP_T1_0180,T1,llm,What is the chemical symbol for tin?,Sn,general
IKP_T1_0181,T1,llm,How many chambers does the human heart have?,4,general
IKP_T1_0182,T1,llm,Who wrote 'Les Miserables'?,Victor Hugo,culture
IKP_T1_0183,T1,llm,In what year was the Congress of Berlin held?,1878,history
IKP_T1_0184,T1,llm,In what year was the Thirty Years' War ended?,1648,history
IKP_T1_0185,T1,llm,In what year was the Battle of Yorktown?,1781,history
IKP_T1_0186,T1,llm,In what year was the Battle of Sedan in the Franco-Prussian War?,1870,history
IKP_T1_0187,T1,llm,In what year was the Sack of Constantinople by the Fourth Crusade?,1204,history
IKP_T1_0188,T1,llm,What is the Planck constant in J·s?,6.626e-34,general
IKP_T1_0189,T1,llm,What is the chemical symbol for argon?,Ar,general
IKP_T1_0190,T1,llm,In what year was the Battle of Waterloo?,1815,history
IKP_T1_0191,T1,llm,What is the largest plateau in the world?,Tibetan Plateau,geography
IKP_T1_0192,T1,llm,What is the largest lake in Central America?,Lake Nicaragua,general
IKP_T1_0193,T1,llm,Who designed the Brasilia Cathedral?,Oscar Niemeyer,culture
IKP_T1_0194,T1,llm,In what year was the Treaty of Trianon signed?,1920,history
IKP_T1_0195,T1,llm,Who founded the Jesuit order?,Ignatius of Loyola,history
IKP_T1_0196,T1,llm,In what year was the Qing Dynasty established?,1644,history
IKP_T1_0197,T1,llm,What is the chemical formula for carbon dioxide?,CO2,general
IKP_T1_0198,T1,llm,What is the deepest point in the ocean?,Mariana Trench,general
IKP_T1_0199,T1,llm,What is the largest lake in South America?,Lake Titicaca,geography
IKP_T2_0200,T2,llm,What is the wavelength of red light approximately in nm?,700,general
IKP_T2_0201,T2,llm,Who built the Terracotta Army?,Qin Shi Huang,general
IKP_T2_0202,T2,llm,Who designed the Glass House in New Canaan?,Philip Johnson,culture
IKP_T2_0203,T2,llm,What is the highest point in Brazil?,Pico da Neblina,general
IKP_T2_0204,T2,llm,Who composed 'Bolero'?,Maurice Ravel,culture
IKP_T2_0205,T2,llm,In what year was the Battle of Manzikert?,1071,history
IKP_T2_0206,T2,llm,In what year was the Treaty of Hubertusburg signed?,1763,history
IKP_T2_0207,T2,llm,What is the deepest lake in North America?,Great Slave Lake,geography
IKP_T2_0208,T2,llm,Who discovered the Van Allen radiation belts?,James Van Allen,science
IKP_T2_0209,T2,llm,Who discovered the Compton effect?,Arthur Compton,science
IKP_T2_0210,T2,llm,Who composed 'The Marriage of Figaro'?,Wolfgang Amadeus Mozart,general
IKP_T2_0211,T2,llm,In what year was the Treaty of Nerchinsk signed between Russia and China?,1689,history
IKP_T2_0212,T2,llm,Who composed the opera 'Boris Godunov'?,Modest Mussorgsky,culture
IKP_T2_0213,T2,llm,What is the second longest river in South America?,Parana River,geography
IKP_T2_0214,T2,llm,What is the atomic number of osmium?,76,science
IKP_T2_0215,T2,llm,What is the atomic number of rhodium?,45,science
IKP_T2_0216,T2,llm,Who wrote 'Critique of Pure Reason'?,Immanuel Kant,culture
IKP_T2_0217,T2,llm,Who wrote 'The Art of War'?,Sun Tzu,general
IKP_T2_0218,T2,llm,Who invented dynamite?,Alfred Nobel,engineering
IKP_T2_0219,T2,llm,Who sculpted 'The Thinker'?,Auguste Rodin,culture
IKP_T2_0220,T2,llm,What is the atomic number of tellurium?,52,science
IKP_T2_0221,T2,llm,Who painted 'Liberty Leading the People'?,Eugene Delacroix,culture
IKP_T2_0222,T2,llm,Who composed 'The Barber of Seville'?,Gioachino Rossini,culture
IKP_T2_0223,T2,llm,Who discovered the electron?,J.J. Thomson,science
IKP_T2_0224,T2,llm,Who painted 'The School of Athens'?,Raphael,culture
IKP_T2_0225,T2,llm,In what year was the Treaty of Verdun that divided the Carolingian Empire?,843,history
IKP_T2_0226,T2,llm,In what year was the Treaty of Nystad signed?,1721,history
IKP_T2_0227,T2,llm,In what year was the Battle of Plassey?,1757,history
IKP_T2_0228,T2,llm,What is the highest mountain in the Alps?,Mont Blanc,geography
IKP_T2_0229,T2,llm,What is the name of the oldest parliament in the world?,Althing,general
IKP_T2_0230,T2,llm,In what year was the Treaty of Utrecht signed?,1713,history
IKP_T2_0231,T2,llm,What is the deepest mine in the world?,Mponeng Gold Mine,engineering
IKP_T2_0232,T2,llm,Who composed 'Le Sacre du Printemps' ballet music?,Igor Stravinsky,culture
IKP_T2_0233,T2,llm,Who composed 'Symphonie Fantastique'?,Hector Berlioz,culture
IKP_T2_0234,T2,llm,In what year was the first transatlantic radio transmission?,1901,engineering
IKP_T2_0235,T2,llm,In what year was the Treaty of Amiens signed?,1802,history
IKP_T2_0236,T2,llm,Who discovered radioactivity?,Henri Becquerel,science
IKP_T2_0237,T2,llm,What is the atomic number of iridium?,77,science
IKP_T2_0238,T2,llm,What is the half-life of Uranium-238 in billion years?,4.5,science
IKP_T2_0239,T2,llm,What is the second largest bay in the world?,Hudson Bay,geography
IKP_T2_0240,T2,llm,What is the largest island in the Mediterranean Sea?,Sicily,general
IKP_T2_0241,T2,llm,In what year was the Council of Constance convened?,1414,history
IKP_T2_0242,T2,llm,What is the largest lake in Finland?,Lake Saimaa,geography
IKP_T2_0243,T2,llm,Who discovered the positron?,Carl Anderson,science
IKP_T2_0244,T2,llm,In what year was the first steamship to cross the Atlantic?,1819,general
IKP_T2_0245,T2,llm,What is the largest volcano on Earth by volume?,Mauna Loa,geography
IKP_T2_0246,T2,llm,In what year was the Battle of Austerlitz?,1805,history
IKP_T2_0247,T2,llm,In what year was the first commercial telephone exchange opened?,1878,engineering
IKP_T2_0248,T2,llm,Who painted 'Nighthawks'?,Edward Hopper,culture
IKP_T2_0249,T2,llm,Who composed 'The Nutcracker'?,Pyotr Tchaikovsky,general
IKP_T2_0250,T2,llm,In what year was the Treaty of Nanking signed?,1842,history
IKP_T2_0251,T2,llm,In what year was the Battle of Trafalgar?,1805,history
IKP_T2_0252,T2,llm,What is the second longest river in Africa?,Congo River,geography
IKP_T2_0253,T2,llm,What is the melting point of tungsten in Celsius?,3422,general
IKP_T2_0254,T2,llm,Who composed 'The Rite of Spring'?,Igor Stravinsky,culture
IKP_T2_0255,T2,llm,Who designed the Pompidou Center's structure alongside Renzo Piano?,Richard Rogers,culture
IKP_T2_0256,T2,llm,In what year was the Rosetta Stone discovered?,1799,general
IKP_T2_0257,T2,llm,Who wrote 'The Odyssey'?,Homer,culture
IKP_T2_0258,T2,llm,In what year was the first nuclear chain reaction achieved?,1942,science
IKP_T2_0259,T2,llm,What strait separates Europe from Africa?,Strait of Gibraltar,general
IKP_T2_0260,T2,llm,Who wrote 'Candide'?,Voltaire,culture
IKP_T2_0261,T2,llm,In what year was the Peace of Passarowitz signed?,1718,history
IKP_T2_0262,T2,llm,Who discovered the circulation of blood?,William Harvey,science
IKP_T2_0263,T2,llm,Who was the architect of the Sydney Opera House?,Jorn Utzon,general
IKP_T2_0264,T2,llm,What is the highest mountain in Iran?,Mount Damavand,geography
IKP_T2_0265,T2,llm,Who painted 'The Hay Wain'?,John Constable,culture
IKP_T2_0266,T2,llm,Who first measured the charge of the electron?,Robert Millikan,science
IKP_T2_0267,T2,llm,In what year was the Millau Viaduct completed?,2004,engineering
IKP_T2_0268,T2,llm,What is the smallest ocean in the world?,Arctic Ocean,geography
IKP_T2_0269,T2,llm,What is the densest naturally occurring element?,Osmium,science
IKP_T2_0270,T2,llm,What is the longest river in the world?,Nile,general
IKP_T2_0271,T2,llm,What is the atomic number of niobium?,41,science
IKP_T2_0272,T2,llm,In what year was the Treaty of Campo Formio signed?,1797,history
IKP_T2_0273,T2,llm,What is the largest lake in Switzerland?,Lake Geneva,geography
IKP_T2_0274,T2,llm,In what year was the Treaty of Ghent signed?,1814,history
IKP_T2_0275,T2,llm,Who composed 'Appalachian Spring'?,Aaron Copland,culture
IKP_T2_0276,T2,llm,In what year was the first synthetic dye created?,1856,science
IKP_T2_0277,T2,llm,In what year was Brasilia inaugurated as capital?,1960,general
IKP_T2_0278,T2,llm,What is the atomic number of nobelium?,102,science
IKP_T2_0279,T2,llm,In what year did World War I begin?,1914,general
IKP_T2_0280,T2,llm,Who founded the Ottoman Empire?,Osman I,general
IKP_T2_0281,T2,llm,What is the second highest mountain in Africa?,Mount Kenya,geography
IKP_T2_0282,T2,llm,Who discovered the Lamb shift?,Willis Lamb,science
IKP_T2_0283,T2,llm,What is the highest point in Antarctica?,Vinson Massif,geography
IKP_T2_0284,T2,llm,In what year was the Kelvin temperature scale proposed?,1848,science
IKP_T2_0285,T2,llm,What is the highest mountain in Myanmar?,Hkakabo Razi,geography
IKP_T2_0286,T2,llm,In what year was the Fourth Lateran Council held?,1215,history
IKP_T2_0287,T2,llm,What is the largest freshwater lake by surface area?,Lake Superior,general
IKP_T2_0288,T2,llm,In what year was the first transatlantic flight completed?,1919,engineering
IKP_T2_0289,T2,llm,What is the official language of Brazil?,Portuguese,geography
IKP_T2_0290,T2,llm,Who wrote 'The Wealth of Nations'?,Adam Smith,culture
IKP_T2_0291,T2,llm,Who wrote 'The Decameron'?,Giovanni Boccaccio,culture
IKP_T2_0292,T2,llm,Who first synthesized aspirin?,Felix Hoffmann,science
IKP_T2_0293,T2,llm,In what year was the Crimean War started?,1853,history
IKP_T2_0294,T2,llm,Who wrote 'Metamorphoses' in ancient Rome?,Ovid,culture
IKP_T2_0295,T2,llm,Who invented the phonograph?,Thomas Edison,engineering
IKP_T2_0296,T2,llm,What is the highest mountain in South America?,Aconcagua,general
IKP_T2_0297,T2,llm,In what year was the Battle of Poltava?,1709,history
IKP_T2_0298,T2,llm,In what year was the Brooklyn Bridge completed?,1883,engineering
IKP_T2_0299,T2,llm,In what year was the Battle of Hattin?,1187,history
IKP_T2_0300,T2,llm,In what year was the Battle of Tannenberg in World War I?,1914,history
IKP_T2_0301,T2,llm,Who wrote 'Don Quixote'?,Miguel de Cervantes,general
IKP_T2_0302,T2,llm,What is the southernmost point of continental Africa?,Cape Agulhas,geography
IKP_T2_0303,T2,llm,Who discovered the phenomenon of piezoelectricity?,Pierre Curie,science
IKP_T2_0304,T2,llm,What is the largest inland sea in the world?,Caspian Sea,geography
IKP_T2_0305,T2,llm,What is the second most abundant element in the universe?,Helium,science
IKP_T2_0306,T2,llm,Who discovered electromagnetic waves experimentally?,Heinrich Hertz,science
IKP_T2_0307,T2,llm,Who invented the pneumatic tire?,John Boyd Dunlop,engineering
IKP_T2_0308,T2,llm,In what year was the Diet of Worms?,1521,history
IKP_T2_0309,T2,llm,In what year was the Battle of Agincourt?,1415,history
IKP_T2_0310,T2,llm,What is the highest navigable body of water in the world?,Lake Titicaca,geography
IKP_T2_0311,T2,llm,What is the oldest university in continuous operation?,University of Bologna,general
IKP_T2_0312,T2,llm,Who discovered the noble gases?,William Ramsay,science
IKP_T2_0313,T2,llm,Who composed 'Rhapsody in Blue'?,George Gershwin,culture
IKP_T2_0314,T2,llm,In what year was the Battle of Tsushima?,1905,history
IKP_T2_0315,T2,llm,Who composed 'Also sprach Zarathustra' in music?,Richard Strauss,culture
IKP_T2_0316,T2,llm,In what year was the Periodic Law independently proposed by Mendeleev?,1869,science
IKP_T2_0317,T2,llm,Who wrote 'Heart of Darkness'?,Joseph Conrad,culture
IKP_T2_0318,T2,llm,What is the second largest city in Japan by population?,Yokohama,geography
IKP_T2_0319,T2,llm,Who discovered the planet Pluto?,Clyde Tombaugh,science
IKP_T2_0320,T2,llm,In what year was the Channel Tunnel opened?,1994,engineering
IKP_T2_0321,T2,llm,What is the northernmost capital city in the world?,Reykjavik,geography
IKP_T2_0322,T2,llm,What is the capital of Liechtenstein?,Vaduz,geography
IKP_T2_0323,T2,llm,"Who painted 'Impression, Sunrise'?",Claude Monet,culture
IKP_T2_0324,T2,llm,Who wrote 'Paradise Lost'?,John Milton,culture
IKP_T2_0325,T2,llm,In what year was the Peace of Karlowitz signed?,1699,history
IKP_T2_0326,T2,llm,Who discovered the planet Neptune?,Johann Galle,science
IKP_T2_0327,T2,llm,What is the longest glacier in the Alps?,Aletsch Glacier,geography
IKP_T2_0328,T2,llm,Who composed the opera 'Wozzeck'?,Alban Berg,culture
IKP_T2_0329,T2,llm,In what year was the Hoover Dam completed?,1936,engineering
IKP_T2_0330,T2,llm,What is the melting point of titanium in Celsius?,1668,science
IKP_T2_0331,T2,llm,What is the largest volcanic crater lake in the world?,Lake Toba,geography
IKP_T2_0332,T2,llm,Who discovered the proton?,Ernest Rutherford,science
IKP_T2_0333,T2,llm,What is the highest peak in the Tien Shan mountain range?,Jengish Chokusu,geography
IKP_T2_0334,T2,llm,In what year was the first vaccine for smallpox developed?,1796,science
IKP_T2_0335,T2,llm,In what year was the Battle of Nicopolis?,1396,history
IKP_T2_0336,T2,llm,In what year was the Battle of Zama?,202 BC,history
IKP_T2_0337,T2,llm,Who designed the Guggenheim Museum in New York?,Frank Lloyd Wright,culture
IKP_T2_0338,T2,llm,What is the rarest naturally occurring element in the Earth's crust?,Astatine,science
IKP_T2_0339,T2,llm,Who composed 'The Four Seasons'?,Antonio Vivaldi,general
IKP_T2_0340,T2,llm,What is the atomic number of palladium?,46,science
IKP_T2_0341,T2,llm,In what year was the Khmer Rouge overthrown?,1979,general
IKP_T2_0342,T2,llm,Who composed 'Carmina Burana'?,Carl Orff,culture
IKP_T2_0343,T2,llm,What is the smallest country in the world by area?,Vatican City,general
IKP_T2_0344,T2,llm,Who proposed the laws of planetary motion?,Johannes Kepler,science
IKP_T2_0345,T2,llm,What is the deepest point in the Indian Ocean?,Java Trench,general
IKP_T2_0346,T2,llm,In what year was the first Zeppelin flight?,1900,engineering
IKP_T2_0347,T2,llm,In what year was the Golden Gate Bridge completed?,1937,engineering
IKP_T2_0348,T2,llm,In what year was the Battle of Mohacs?,1526,history
